84.228.108.195 - - [30/Mar/2023:07:46:46 +0000] "GET /sql/phpMyAdmin2/index.php?lang=en HTTP/1.1" 404 548 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
84.228.108.195 - - [30/Mar/2023:07:46:46 +0000] "GET /phpMyAdmin-4/index.php?lang=en HTTP/1.1" 404 548 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
84.228.108.195 - - [30/Mar/2023:07:46:46 +0000] "GET /sqlmanager/index.php?lang=en HTTP/1.1" 404 548 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
84.228.108.195 - - [30/Mar/2023:07:46:46 +0000] "GET /mysql-admin/index.php?lang=en HTTP/1.1" 404 548 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
84.228.108.195 - - [30/Mar/2023:07:46:46 +0000] "GET /administrator/phpmyadmin/index.php?lang=en HTTP/1.1" 404 548 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
84.228.108.195 - - [30/Mar/2023:07:46:46 +0000] "GET /phpMyAdmin-5.1.0/index.php?lang=en HTTP/1.1" 404 548 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
84.228.108.195 - - [30/Mar/2023:07:46:46 +0000] "GET /db/phpMyAdmin-5/index.php?lang=en HTTP/1.1" 404 548 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
84.228.108.195 - - [30/Mar/2023:07:46:47 +0000] "GET /phpMyAdmin-5.2.index.php?lang=en HTTP/1.1" 404 548 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
84.228.108.195 - - [30/Mar/2023:07:46:47 +0000] "GET /phpMyAdmin-latest-english/index.php?lang=en HTTP/1.1" 404 548 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
84.228.108.195 - - [30/Mar/2023:07:46:47 +0000] "GET /sql/sqladmin/index.php?lang=en HTTP/1.1" 404 548 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
84.228.108.195 - - [30/Mar/2023:07:46:47 +0000] "GET /phppma/index.php?lang=en HTTP/1.1" 404 548 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
84.228.108.195 - - [30/Mar/2023:07:46:47 +0000] "GET /db/webadmin/index.php?lang=en HTTP/1.1" 404 548 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
84.228.108.195 - - [30/Mar/2023:07:46:47 +0000] "GET /phpmyAdmin/index.php?lang=en HTTP/1.1" 404 548 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
84.228.108.195 - - [30/Mar/2023:07:46:48 +0000] "GET /_phpMyAdmin/index.php?lang=en HTTP/1.1" 404 548 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
84.228.108.195 - - [30/Mar/2023:07:46:48 +0000] "GET /phpmyadmin1/index.php?lang=en HTTP/1.1" 404 548 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
84.228.108.195 - - [30/Mar/2023:07:46:48 +0000] "GET /db/phpmyadmin3/index.php?lang=en HTTP/1.1" 404 548 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
84.228.108.195 - - [30/Mar/2023:07:46:48 +0000] "GET /phpMyAdmin5.2/index.php?lang=en HTTP/1.1" 404 548 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
84.228.108.195 - - [30/Mar/2023:07:46:48 +0000] "GET /phpMyAdmin-5.1.0/index.php?lang=en HTTP/1.1" 404 548 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
